frame	value	stimulusOriginal	stimulusDecoded	decodeType	subject	assay	assayType	assayNum
1	0.320551813978539	no action	no action	original	m885	HAL01	HAL	1
2	0.105119574196776	mag lick  onset	no action	original	m885	HAL01	HAL	1
3	0.0533906018887245	mag lick  offset	no action	original	m885	HAL01	HAL	1
4	0.122549019607843	CS	no action	original	m885	HAL01	HAL	1
5	0.138888888888889	US	no action	original	m885	HAL01	HAL	1
6	0.12325615618745	no action	mag lick  onset	original	m885	HAL01	HAL	1
7	0.35205768166818	mag lick  onset	mag lick  onset	original	m885	HAL01	HAL	1
8	0.181524253802101	mag lick  offset	mag lick  onset	original	m885	HAL01	HAL	1
9	0.104030501089325	CS	mag lick  onset	original	m885	HAL01	HAL	1
10	0.0740740740740741	US	mag lick  onset	original	m885	HAL01	HAL	1
11	0.385047889758033	no action	mag lick  offset	original	m885	HAL01	HAL	1
12	0.474624266122242	mag lick  onset	mag lick  offset	original	m885	HAL01	HAL	1
13	0.701027799901392	mag lick  offset	mag lick  offset	original	m885	HAL01	HAL	1
14	0.346949891067538	CS	mag lick  offset	original	m885	HAL01	HAL	1
15	0.351851851851852	US	mag lick  offset	original	m885	HAL01	HAL	1
16	0.0807253878559634	no action	CS	original	m885	HAL01	HAL	1
17	0.0252297637471447	mag lick  onset	CS	original	m885	HAL01	HAL	1
18	0.0160048545530398	mag lick  offset	CS	original	m885	HAL01	HAL	1
19	0.417211328976035	CS	CS	original	m885	HAL01	HAL	1
20	0.0277777777777778	US	CS	original	m885	HAL01	HAL	1
21	0.0904187522200148	no action	US	original	m885	HAL01	HAL	1
22	0.0429687142656569	mag lick  onset	US	original	m885	HAL01	HAL	1
23	0.0480524898547427	mag lick  offset	US	original	m885	HAL01	HAL	1
24	0.00925925925925926	CS	US	original	m885	HAL01	HAL	1
25	0.407407407407407	US	US	original	m885	HAL01	HAL	1
1	0.55532777486414	no action	no action	shuffle	m885	HAL01	HAL	1
2	0.550995584674548	mag lick  onset	no action	shuffle	m885	HAL01	HAL	1
3	0.510752688172043	mag lick  offset	no action	shuffle	m885	HAL01	HAL	1
4	0.641798941798942	CS	no action	shuffle	m885	HAL01	HAL	1
5	0.579365079365079	US	no action	shuffle	m885	HAL01	HAL	1
6	0.106026061081129	no action	mag lick  onset	shuffle	m885	HAL01	HAL	1
7	0.128050451819146	mag lick  onset	mag lick  onset	shuffle	m885	HAL01	HAL	1
8	0.132616487455197	mag lick  offset	mag lick  onset	shuffle	m885	HAL01	HAL	1
9	0.0470899470899471	CS	mag lick  onset	shuffle	m885	HAL01	HAL	1
10	0.14973544973545	US	mag lick  onset	shuffle	m885	HAL01	HAL	1
11	0.221780571110622	no action	mag lick  offset	shuffle	m885	HAL01	HAL	1
12	0.179767997594518	mag lick  onset	mag lick  offset	shuffle	m885	HAL01	HAL	1
13	0.207885304659498	mag lick  offset	mag lick  offset	shuffle	m885	HAL01	HAL	1
14	0.188624338624339	CS	mag lick  offset	shuffle	m885	HAL01	HAL	1
15	0.168253968253968	US	mag lick  offset	shuffle	m885	HAL01	HAL	1
16	0.0524558207905921	no action	CS	shuffle	m885	HAL01	HAL	1
17	0.104978081628131	mag lick  onset	CS	shuffle	m885	HAL01	HAL	1
18	0.0896057347670251	mag lick  offset	CS	shuffle	m885	HAL01	HAL	1
19	0.0664021164021164	CS	CS	shuffle	m885	HAL01	HAL	1
20	0.0563492063492064	US	CS	shuffle	m885	HAL01	HAL	1
21	0.0644097721535168	no action	US	shuffle	m885	HAL01	HAL	1
22	0.036207884283657	mag lick  onset	US	shuffle	m885	HAL01	HAL	1
23	0.0591397849462366	mag lick  offset	US	shuffle	m885	HAL01	HAL	1
24	0.0560846560846561	CS	US	shuffle	m885	HAL01	HAL	1
25	0.0462962962962963	US	US	shuffle	m885	HAL01	HAL	1
1	-0.234775960885601	no action	no action	residual	m885	HAL01	HAL	1
2	-0.445876010477771	mag lick  onset	no action	residual	m885	HAL01	HAL	1
3	-0.457362086283318	mag lick  offset	no action	residual	m885	HAL01	HAL	1
4	-0.519249922191099	CS	no action	residual	m885	HAL01	HAL	1
5	-0.440476190476191	US	no action	residual	m885	HAL01	HAL	1
6	0.0172300951063209	no action	mag lick  onset	residual	m885	HAL01	HAL	1
7	0.224007229849034	mag lick  onset	mag lick  onset	residual	m885	HAL01	HAL	1
8	0.048907766346904	mag lick  offset	mag lick  onset	residual	m885	HAL01	HAL	1
9	0.0569405539993775	CS	mag lick  onset	residual	m885	HAL01	HAL	1
10	-0.0756613756613757	US	mag lick  onset	residual	m885	HAL01	HAL	1
11	0.16326731864741	no action	mag lick  offset	residual	m885	HAL01	HAL	1
12	0.294856268527724	mag lick  onset	mag lick  offset	residual	m885	HAL01	HAL	1
13	0.493142495241894	mag lick  offset	mag lick  offset	residual	m885	HAL01	HAL	1
14	0.1583255524432	CS	mag lick  offset	residual	m885	HAL01	HAL	1
15	0.183597883597884	US	mag lick  offset	residual	m885	HAL01	HAL	1
16	0.0282695670653712	no action	CS	residual	m885	HAL01	HAL	1
17	-0.0797483178809867	mag lick  onset	CS	residual	m885	HAL01	HAL	1
18	-0.0736008802139853	mag lick  offset	CS	residual	m885	HAL01	HAL	1
19	0.350809212573918	CS	CS	residual	m885	HAL01	HAL	1
20	-0.0285714285714286	US	CS	residual	m885	HAL01	HAL	1
21	0.0260089800664981	no action	US	residual	m885	HAL01	HAL	1
22	0.00676082998199992	mag lick  onset	US	residual	m885	HAL01	HAL	1
23	-0.0110872950914939	mag lick  offset	US	residual	m885	HAL01	HAL	1
24	-0.0468253968253968	CS	US	residual	m885	HAL01	HAL	1
25	0.361111111111111	US	US	residual	m885	HAL01	HAL	1
-50	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-49	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-48	0.170886075949367	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-47	0.170886075949367	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-46	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-45	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-44	0.164556962025316	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-43	0.177215189873418	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-42	0.132911392405063	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-41	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-40	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-39	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-38	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-37	0.158227848101266	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-36	0.164556962025316	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-35	0.158227848101266	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-34	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-33	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-32	0.170886075949367	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-31	0.177215189873418	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-30	0.164556962025316	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-29	0.170886075949367	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-28	0.183544303797468	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-27	0.164556962025316	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-26	0.158227848101266	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-25	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-24	0.145569620253165	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-23	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-22	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-21	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-20	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-19	0.170886075949367	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-18	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-17	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-16	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-15	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-14	0.0949367088607595	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-13	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-12	0.126582278481013	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-11	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-10	0.113924050632911	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-9	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-8	0.177215189873418	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-7	0.20253164556962	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-6	0.227848101265823	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-5	0.322784810126582	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-4	0.411392405063291	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-3	0.436708860759494	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-2	0.449367088607595	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-1	0.39873417721519	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
0	0.246835443037975	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
1	0.151898734177215	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
2	0.0949367088607595	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
3	0.069620253164557	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
4	0.0443037974683544	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
5	0.0886075949367089	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
6	0.113924050632911	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
7	0.139240506329114	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
8	0.107594936708861	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
9	0.132911392405063	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
10	0.140127388535032	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
11	0.133757961783439	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
12	0.159235668789809	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
13	0.159235668789809	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
14	0.191082802547771	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
15	0.165605095541401	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
16	0.140127388535032	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
17	0.152866242038217	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
18	0.165605095541401	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
19	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
20	0.165605095541401	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
21	0.165605095541401	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
22	0.178343949044586	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
23	0.140127388535032	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
24	0.114649681528662	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
25	0.10828025477707	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
26	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
27	0.165605095541401	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
28	0.178343949044586	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
29	0.152866242038217	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
30	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
31	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
32	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
33	0.127388535031847	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
34	0.146496815286624	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
35	0.10828025477707	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
36	0.114649681528662	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
37	0.101910828025478	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
38	0.0955414012738854	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
39	0.121019108280255	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
40	0.121019108280255	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
41	0.159235668789809	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
42	0.171974522292994	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
43	0.101910828025478	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
44	0.0955414012738854	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
45	0.121019108280255	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
46	0.159235668789809	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
47	0.140127388535032	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
48	0.114649681528662	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
49	0.114649681528662	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
50	0.121019108280255	mag lick  onset	linePlots	original	m885	HAL01	HAL	1
-50	0.120253164556962	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-49	0.126582278481013	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-48	0.0949367088607595	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-47	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-46	0.145569620253165	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-45	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-44	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-43	0.069620253164557	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-42	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-41	0.0506329113924051	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-40	0.069620253164557	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-39	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-38	0.0949367088607595	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-37	0.10126582278481	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-36	0.0949367088607595	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-35	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-34	0.0822784810126582	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-33	0.0822784810126582	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-32	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-31	0.0949367088607595	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-30	0.0632911392405063	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-29	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-28	0.10126582278481	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-27	0.126582278481013	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-26	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-25	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-24	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-23	0.10126582278481	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-22	0.0632911392405063	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-21	0.0632911392405063	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-20	0.0822784810126582	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-19	0.0443037974683544	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-18	0.0379746835443038	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-17	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-16	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-15	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-14	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-13	0.0632911392405063	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-12	0.10126582278481	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-11	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-10	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-9	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-8	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-7	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-6	0.120253164556962	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-5	0.107594936708861	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-4	0.113924050632911	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-3	0.126582278481013	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-2	0.10126582278481	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-1	0.132911392405063	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
0	0.151898734177215	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
1	0.151898734177215	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
2	0.183544303797468	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
3	0.145569620253165	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
4	0.139240506329114	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
5	0.120253164556962	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
6	0.0822784810126582	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
7	0.0759493670886076	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
8	0.0886075949367089	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
9	0.0822784810126582	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
10	0.0636942675159236	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
11	0.089171974522293	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
12	0.0764331210191083	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
13	0.10828025477707	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
14	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
15	0.10828025477707	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
16	0.127388535031847	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
17	0.133757961783439	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
18	0.127388535031847	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
19	0.140127388535032	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
20	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
21	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
22	0.10828025477707	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
23	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
24	0.127388535031847	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
25	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
26	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
27	0.140127388535032	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
28	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
29	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
30	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
31	0.152866242038217	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
32	0.146496815286624	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
33	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
34	0.0955414012738854	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
35	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
36	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
37	0.127388535031847	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
38	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
39	0.121019108280255	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
40	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
41	0.127388535031847	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
42	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
43	0.133757961783439	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
44	0.0955414012738854	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
45	0.089171974522293	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
46	0.089171974522293	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
47	0.10828025477707	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
48	0.101910828025478	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
49	0.0764331210191083	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
50	0.114649681528662	mag lick  onset	linePlots	shuffle	m885	HAL01	HAL	1
-50	0.443037974683544	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-49	0.424050632911392	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-48	0.468354430379747	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-47	0.468354430379747	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-46	0.455696202531646	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-45	0.417721518987342	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-44	0.436708860759494	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-43	0.449367088607595	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-42	0.436708860759494	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-41	0.430379746835443	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-40	0.455696202531646	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-39	0.424050632911392	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-38	0.468354430379747	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-37	0.462025316455696	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-36	0.455696202531646	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-35	0.493670886075949	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-34	0.462025316455696	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-33	0.481012658227848	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-32	0.449367088607595	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-31	0.518987341772152	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-30	0.474683544303797	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-29	0.455696202531646	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-28	0.455696202531646	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-27	0.506329113924051	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-26	0.525316455696203	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-25	0.518987341772152	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-24	0.506329113924051	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-23	0.468354430379747	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-22	0.462025316455696	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-21	0.430379746835443	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-20	0.392405063291139	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-19	0.443037974683544	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-18	0.436708860759494	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-17	0.474683544303797	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-16	0.474683544303797	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-15	0.487341772151899	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-14	0.449367088607595	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-13	0.512658227848101	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-12	0.525316455696203	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-11	0.544303797468354	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-10	0.537974683544304	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-9	0.487341772151899	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-8	0.531645569620253	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-7	0.537974683544304	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-6	0.512658227848101	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-5	0.556962025316456	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-4	0.632911392405063	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-3	0.759493670886076	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-2	0.772151898734177	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
-1	0.860759493670886	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
0	0.867088607594937	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
1	0.79746835443038	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
2	0.759493670886076	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
3	0.740506329113924	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
4	0.639240506329114	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
5	0.573248407643312	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
6	0.547770700636943	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
7	0.554140127388535	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
8	0.522292993630573	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
9	0.477707006369427	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
10	0.484076433121019	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
11	0.477707006369427	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
12	0.496815286624204	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
13	0.503184713375796	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
14	0.503184713375796	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
15	0.528662420382166	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
16	0.496815286624204	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
17	0.484076433121019	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
18	0.471337579617834	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
19	0.439490445859873	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
20	0.407643312101911	mag lick  offset	linePlots	original	m885	HAL01	HAL	1
