subject	assay	assayType	assayNum	firingRateMean	firingRateMedian	firingRateStd	meanSpikesCell	syncActivityMean	syncActivityMax	fwhmMean	numObjs	nSpikeCorrClusters
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
f777	unc9975	unc	9975	0.0141848297705338	0.0138827187916482	0.00524417807570819	25.5440414507772	5.47534429142603	33	9.79452243430902	386	89
f777	vehicle01	vehicle	1	0.0169098634225245	0.0166592625499778	0.00580876577311766	30.4512820512821	6.59484673478454	28	9.0031066108854	390	71
m83	unc9975	unc	9975	0.0155379347682518	0.0149900066622252	0.00701942111829537	27.9869281045752	2.37730401954253	13	12.514502356194	153	2
m83	vehicle01	vehicle	1	0.0149868573072942	0.0148177417761533	0.00653894857034182	30.3423913043478	2.75758174454213	14	13.4930291461413	184	1
